       1   1   1   1   0   1      2    16    25     3    67    69    91    89
       2   1   1   1   0   1     16    17    26    25    69    70    92    91
       3   1   1   1   0   1     17    18    27    26    70    71    93    92
       4   1   1   1   0   1     18    19    28    27    71    72    94    93
       5   1   1   1   0   1     19    20    29    28    72    73    95    94
       6   1   1   1   0   1     20    21    30    29    73    74    96    95
       7   1   1   1   0   1     21    22    31    30    74    75    97    96
       8   1   1   1   0   1     22    23    32    31    75    76    98    97
       9   1   1   1   0   1     23    24    33    32    76    77    99    98
      10   1   1   1   0   1     24    14    15    33    77    68    90    99
      11   1   1   1   0   1      3    25    13     1    89    91    80    79
      12   1   1   1   0   1     25    26    12    13    91    92    81    80
      13   1   1   1   0   1     26    27    11    12    92    93    82    81
      14   1   1   1   0   1     27    28    10    11    93    94    83    82
      15   1   1   1   0   1     28    29     9    10    94    95    84    83
      16   1   1   1   0   1     29    30     8     9    95    96    85    84
      17   1   1   1   0   1     30    31     7     8    96    97    86    85
      18   1   1   1   0   1     31    32     6     7    97    98    87    86
      19   1   1   1   0   1     32    33     5     6    98    99    88    87
      20   1   1   1   0   1     33    15     4     5    99    90    78    88
      21   1   1   1   0   1     67    69    91    89    34    36    58    57
      22   1   1   1   0   1     69    70    92    91    36    37    59    58
      23   1   1   1   0   1     70    71    93    92    37    38    60    59
      24   1   1   1   0   1     71    72    94    93    38    39    61    60
      25   1   1   1   0   1     72    73    95    94    39    40    62    61
      26   1   1   1   0   1     73    74    96    95    40    41    63    62
      27   1   1   1   0   1     74    75    97    96    41    42    64    63
      28   1   1   1   0   1     75    76    98    97    42    43    65    64
      29   1   1   1   0   1     76    77    99    98    43    44    66    65
      30   1   1   1   0   1     77    68    90    99    44    35    46    66
      31   1   1   1   0   1     89    91    80    79    57    58    56    47
      32   1   1   1   0   1     91    92    81    80    58    59    55    56
      33   1   1   1   0   1     92    93    82    81    59    60    54    55
      34   1   1   1   0   1     93    94    83    82    60    61    53    54
      35   1   1   1   0   1     94    95    84    83    61    62    52    53
      36   1   1   1   0   1     95    96    85    84    62    63    51    52
      37   1   1   1   0   1     96    97    86    85    63    64    50    51
      38   1   1   1   0   1     97    98    87    86    64    65    49    50
      39   1   1   1   0   1     98    99    88    87    65    66    48    49
      40   1   1   1   0   1     99    90    78    88    66    46    45    48
